question,answer,correct,incorrect,AverageTime,LastAsked,Elapsed,CorrectRate
1+□=10、□は？,9,1,8,inf,2025-01-26 22:47:08.922982,1279.958114,0.1111111111111111
2+□=10、□は？,8,0,9,inf,2025-01-26 22:47:09.018820,1279.862276,0.0
3+□=10、□は？,7,0,9,inf,2025-01-26 22:47:09.102322,1279.778774,0.0
4+□=10、□は？,6,0,9,inf,2025-01-26 22:47:09.140493,1279.740603,0.0
5+□=10、□は？,5,1,8,inf,2025-01-26 22:47:09.184198,1279.696898,0.1111111111111111
6+□=10、□は？,4,0,9,inf,2025-01-26 22:47:09.223321,1279.657775,0.0
7+□=10、□は？,3,0,9,inf,2025-01-26 22:47:09.299573,1279.581523,0.0
8+□=10、□は？,2,0,9,inf,2025-01-26 22:47:09.350525,1279.530571,0.0
9+□=10、□は？,1,1,8,inf,2025-01-26 22:47:09.436794,1279.444302,0.1111111111111111
11 × 1 =,11,0,9,inf,2025-01-26 22:47:09.516029,1279.365067,0.0
11 × 2 =,22,0,9,inf,2025-01-26 22:47:09.572204,1279.308892,0.0
11 × 3 =,33,0,9,inf,2025-01-26 22:47:09.635683,1279.245413,0.0
11 × 4 =,44,0,9,inf,2025-01-26 22:47:09.720776,1279.16032,0.0
11 × 5 =,55,0,9,inf,2025-01-26 22:47:09.786993,1279.094103,0.0
11 × 6 =,66,0,9,inf,2025-01-26 22:47:09.868242,1279.012854,0.0
11 × 7 =,77,0,9,inf,2025-01-26 22:47:09.937756,1278.94334,0.0
11 × 8 =,88,0,9,inf,2025-01-26 22:47:10.023160,1278.857936,0.0
11 × 9 =,99,0,9,inf,2025-01-26 22:47:10.115593,1278.765503,0.0
12 × 1 =,12,0,9,inf,2025-01-26 22:47:10.170145,1278.710951,0.0
12 × 2 =,24,0,9,inf,2025-01-26 22:47:10.198638,1278.682458,0.0
12 × 3 =,36,0,9,inf,2025-01-26 22:47:10.286804,1278.594292,0.0
12 × 4 =,48,0,9,inf,2025-01-26 22:47:10.355911,1278.525185,0.0
12 × 5 =,60,0,9,inf,2025-01-26 22:47:10.440964,1278.440132,0.0
12 × 6 =,72,1,8,inf,2025-01-26 22:47:10.535926,1278.34517,0.1111111111111111
12 × 7 =,84,0,9,inf,2025-01-26 22:47:10.598651,1278.282445,0.0
12 × 8 =,96,0,9,inf,2025-01-26 22:47:10.699227,1278.181869,0.0
12 × 9 =,108,0,9,inf,2025-01-26 22:47:10.777546,1278.10355,0.0
13 × 1 =,13,0,9,inf,2025-01-26 22:47:10.864374,1278.016722,0.0
13 × 2 =,26,0,9,inf,2025-01-26 22:47:10.946366,1277.93473,0.0
13 × 3 =,39,0,9,inf,2025-01-26 22:47:11.004252,1277.876844,0.0
13 × 4 =,52,0,9,inf,2025-01-26 22:47:11.077184,1277.803912,0.0
13 × 5 =,65,0,9,inf,2025-01-26 22:47:11.157378,1277.723718,0.0
13 × 6 =,78,0,9,inf,2025-01-26 22:47:11.251760,1277.629336,0.0
13 × 7 =,91,0,9,inf,2025-01-26 22:47:11.321355,1277.559741,0.0
13 × 8 =,104,0,9,inf,2025-01-26 22:47:11.425749,1277.455347,0.0
13 × 9 =,117,0,9,inf,2025-01-26 22:47:11.505753,1277.375343,0.0
14 × 1 =,14,0,9,inf,2025-01-26 22:47:11.575528,1277.305568,0.0
14 × 2 =,28,0,9,inf,2025-01-26 22:47:11.666687,1277.214409,0.0
14 × 3 =,42,0,9,inf,2025-01-26 22:47:11.724878,1277.156218,0.0
14 × 4 =,56,0,9,inf,2025-01-26 22:47:11.790491,1277.090605,0.0
14 × 5 =,70,3,6,inf,2025-01-26 22:47:11.875934,1277.005162,0.3333333333333333
14 × 6 =,84,0,9,inf,2025-01-26 22:47:11.936494,1276.944602,0.0
14 × 7 =,98,0,9,inf,2025-01-26 22:47:11.983709,1276.897387,0.0
14 × 8 =,112,0,9,inf,2025-01-26 22:47:12.058114,1276.822982,0.0
14 × 9 =,126,0,9,inf,2025-01-26 22:47:12.126707,1276.754389,0.0
15 × 1 =,15,0,9,inf,2025-01-26 22:47:12.188591,1276.692505,0.0
15 × 2 =,30,0,9,inf,2025-01-26 22:47:12.255545,1276.625551,0.0
15 × 3 =,45,0,9,inf,2025-01-26 22:47:12.353001,1276.528095,0.0
15 × 4 =,60,0,9,inf,2025-01-26 22:47:12.430501,1276.450595,0.0
15 × 5 =,75,0,9,inf,2025-01-26 22:47:12.497858,1276.383238,0.0
15 × 6 =,90,0,9,inf,2025-01-26 22:47:12.575635,1276.305461,0.0
15 × 7 =,105,0,9,inf,2025-01-26 22:47:12.639765,1276.241331,0.0
15 × 8 =,120,0,9,inf,2025-01-26 22:47:12.723621,1276.157475,0.0
15 × 9 =,135,0,9,inf,2025-01-26 22:47:12.791410,1276.089686,0.0
16 × 1 =,16,0,9,inf,2025-01-26 22:47:12.891827,1275.989269,0.0
16 × 2 =,32,0,9,inf,2025-01-26 22:47:12.963896,1275.9172,0.0
16 × 3 =,48,0,9,inf,2025-01-26 22:47:13.027902,1275.853194,0.0
16 × 4 =,64,0,9,inf,2025-01-26 22:47:13.061748,1275.819348,0.0
16 × 5 =,80,0,9,inf,2025-01-26 22:47:13.133038,1275.748058,0.0
16 × 6 =,96,0,9,inf,2025-01-26 22:47:13.202034,1275.679062,0.0
16 × 7 =,112,0,9,inf,2025-01-26 22:47:13.287436,1275.59366,0.0
16 × 8 =,128,0,9,inf,2025-01-26 22:47:13.373476,1275.50762,0.0
16 × 9 =,144,0,9,inf,2025-01-26 22:47:13.449143,1275.431953,0.0
17 × 1 =,17,0,9,inf,2025-01-26 22:47:13.529863,1275.351233,0.0
17 × 2 =,34,0,9,inf,2025-01-26 22:47:13.607747,1275.273349,0.0
17 × 3 =,51,0,9,inf,2025-01-26 22:47:13.705136,1275.17596,0.0
17 × 4 =,68,0,9,inf,2025-01-26 22:47:13.867817,1275.013279,0.0
17 × 5 =,85,0,9,inf,2025-01-26 22:47:13.900223,1274.980873,0.0
17 × 6 =,102,0,9,inf,2025-01-26 22:47:13.948930,1274.932166,0.0
17 × 7 =,119,0,9,inf,2025-01-26 22:47:14.019650,1274.861446,0.0
17 × 8 =,136,0,9,inf,2025-01-26 22:47:14.101910,1274.779186,0.0
17 × 9 =,153,0,9,inf,2025-01-26 22:47:14.169928,1274.711168,0.0
18 × 1 =,18,0,9,inf,2025-01-26 22:47:14.223624,1274.657472,0.0
18 × 2 =,36,0,9,inf,2025-01-26 22:47:14.285873,1274.595223,0.0
18 × 3 =,54,0,9,inf,2025-01-26 22:47:14.366975,1274.514121,0.0
9-2=,7,7,3,inf,2025-01-26 23:03:05.590019,323.291077,0.7
9-3=,6,1,9,inf,2025-01-26 23:03:24.919308,303.961788,0.1
9-4=,5,1,9,inf,2025-01-26 23:03:38.670550,290.210546,0.1
